Rk,Player,Age,Team,Pos,GP,G,A,PTS,SOG▼,-9999
746,Jimmy Snuggerud,20,STL,RW,7,1,3,4,10,snuggji01
747,Grant Hutton,29,NYI,D,13,0,2,2,10,huttogr01
748,Dylan McIlrath,32,WSH,D,17,0,2,2,10,mcilrdy01
749,Owen Beck,20,MTL,C,12,0,1,1,10,beckow01
750,Matěj Blümel,24,DAL,RW,7,1,0,1,10,blumema01
751,Bokondji Imama,28,PIT,LW,16,1,0,1,10,imamabo01
752,Joona Koppanen,26,PIT,LW,11,1,0,1,10,koppajo01
753,Ian Mitchell,26,BOS,D,15,0,1,1,10,mitchia01
754,Tobias Björnfot,23,FLA,D,14,0,0,0,10,bjornto01
755,Raphael Lavoie,24,VEG,C,9,0,0,0,10,lavoira01
756,Justin Kirkland,28,CGY,LW,21,2,6,8,9,kirklju01
757,Calle Järnkrok,33,TOR,C,19,1,6,7,9,jarnkca01
758,Dennis Gilbert,28,2TM,D,29,0,6,6,9,gilbede01
759,Ross Johnston,30,ANA,LW,43,1,3,4,9,johnsro02
760,David Jiříček,21,2TM,D,12,1,2,3,9,jiricda01
761,John Ludvig,24,COL,D,8,0,2,2,9,ludvijo01
762,Josh Brown,31,EDM,D,10,0,1,1,9,brownjo01
763,Michael Callahan,25,BOS,D,17,1,0,1,9,callami02
764,Angus Crookshank,25,OTT,LW,8,0,1,1,9,crookan01
765,Dylan Coghlan,26,WPG,D,6,0,0,0,9,coghldy01
766,Nils Åman,24,VAN,C,19,1,5,6,8,amanni01
767,Valtteri Puustinen,25,PIT,RW,13,2,1,3,8,puustva01
768,Robert Bortuzzo,35,UTA,D,17,0,2,2,8,borturo01
769,Jaret Anderson-Dolan,25,WPG,C,7,0,1,1,8,anderja01
770,Andreas Athanasiou,30,CHI,C,8,1,0,1,8,athanan01
771,Arshdeep Bains,24,VAN,F,13,1,0,1,8,bainsar01
772,Bradly Nadeau,19,CAR,LW,2,0,1,1,8,nadeabr01
773,Isak Rosen,21,BUF,RW,8,0,1,1,8,rosenis01
774,Matthew Wood,19,NSH,RW,6,0,1,1,8,woodma01
775,Maxwell Crozier,24,TBL,D,5,0,0,0,8,crozima01
776,Travis Dermott,28,2TM,D,19,0,0,0,8,dermotr01
777,Cam Dineen,26,EDM,D,4,0,0,0,8,dineeca01
778,Jere Innala,26,COL,F,17,0,0,0,8,innalje01
779,Joakim Kemell,20,NSH,RW,2,0,0,0,8,kemeljo01
780,Vasiliy Ponomarev,22,PIT,C,7,0,0,0,8,ponomva01
781,Luca Cagnoni,20,SJS,D,6,0,2,2,7,cagnolu01
782,Alex Steeves,25,TOR,F,7,1,1,2,7,steeval02
783,Georgii Merkulov,24,BOS,F,6,0,1,1,7,merkuge01
784,Alexander Alexeyev,25,WSH,D,8,0,0,0,7,alexeal01
